[1, 13, 12, 6, 6, 15, 14, 17, 7, 9]
[5, 3, 9, 14, 11, 8, 16, 15, 14, 5]
[5, 3, 9, 14, 11, 8, 16, 15, 14, 5]
[4, 2, 10, 15, 10, 7, 17, 16, 15, 4]
[7, 7, 12, 1, 4, 17, 15, 16, 13, 8]
[6, 6, 13, 0, 5, 16, 14, 17, 14, 9]
[6, 6, 13, 0, 3, 18, 16, 17, 12, 9]
[6, 11, 13, 3, 2, 18, 19, 4, 15, 9]
[5, 12, 14, 0, 3, 17, 22, 5, 14, 8]
[2, 13, 13, 3, 4, 18, 23, 2, 15, 7]
[2, 13, 13, 3, 4, 18, 23, 2, 15, 7]
[3, 6, 0, 18, 5, 18, 23, 12, 12, 3]
[6, 1, 6, 14, 20, 1, 11, 22, 19, 0]
[6, 1, 6, 14, 20, 1, 11, 22, 19, 0]
[8, 0, 6, 14, 20, 1, 11, 22, 17, 1]
[5, 8, 14, 0, 1, 21, 26, 5, 16, 4]
[4, 7, 15, 1, 0, 22, 25, 6, 17, 3]
[5, 0, 4, 16, 20, 0, 12, 24, 19, 0]
[5, 0, 4, 16, 20, 0, 12, 24, 19, 0]
[6, 0, 4, 15, 21, 0, 9, 24, 19, 2]
[6, 0, 2, 16, 21, 0, 9, 24, 21, 1]
[1, 6, 1, 21, 21, 8, 4, 27, 7, 4]
[0, 1, 7, 16, 19, 0, 10, 27, 20, 0]
[0, 5, 0, 22, 22, 9, 3, 28, 8, 3]
[0, 5, 0, 22, 22, 9, 3, 28, 8, 3]
[1, 9, 8, 9, 22, 2, 27, 0, 21, 1]
[4, 10, 8, 2, 4, 12, 28, 29, 0, 3]
[2, 8, 9, 7, 14, 9, 28, 0, 22, 1]
[1, 8, 7, 10, 19, 1, 30, 0, 22, 2]
[4, 5, 9, 3, 2, 22, 31, 0, 23, 1]
[4, 7, 9, 3, 2, 20, 31, 0, 23, 1]
[3, 0, 5, 14, 20, 4, 8, 33, 12, 1]
[1, 0, 0, 23, 14, 11, 4, 32, 13, 2]
[3, 6, 15, 4, 8, 29, 14, 1, 20, 0]
[0, 5, 1, 21, 10, 15, 16, 7, 24, 1]
[0, 7, 0, 18, 11, 13, 19, 8, 23, 1]
[1, 8, 8, 12, 20, 0, 26, 2, 23, 0]
[1, 8, 8, 12, 20, 0, 26, 2, 23, 0]
[0, 1, 3, 18, 12, 19, 13, 8, 25, 1]
[4, 2, 0, 13, 20, 17, 29, 11, 2, 2]
[3, 1, 0, 14, 19, 18, 29, 10, 3, 3]
[4, 1, 14, 1, 6, 25, 22, 17, 9, 1]
